nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,0.043499539,2.05E-02,5.03E-05,0,0.047808978,0.004815691,5.96E-06,7.21E-16,0.998679115,0.921301695,0.572292893,0,0.035694099,0.005678089,0.000175763,8.11E-11,0.985658119,0.894937835,0.585246987,5.55E-15,0.965306515,0.894446946,0.656206386,0,0.720840087,0.23353652,0.012444326,0,0.999032754,0.999777657,0.406285691,1.53E-04,0.550000029,0.196227724,0.003220763,8.82E-11,0.999998607,1,0.999991474,7.78E-04
320,0.073739777,3.59E-02,2.01E-04,2.22E-15,0.078737121,0.01050341,2.50E-05,4.73E-15,0.999633406,0.954616441,0.660098426,0,0.06199476,1.23E-02,0.000504059,4.33E-10,0.992131542,0.929881057,0.661754401,1.59E-13,0.977689267,0.931251117,0.738222318,0,0.780154768,0.329215188,0.024770256,0,0.999568367,0.9999766,0.538078118,2.73E-04,0.828822791,0.299462845,0.008457315,8.02E-10,0.999999788,1,0.999999463,1.44E-03
340,0.113440036,5.72E-02,6.44E-04,1.31E-13,0.118449639,0.020114267,8.49E-05,2.59E-14,0.999898344,0.974093685,0.733416002,0,0.097395394,2.32E-02,0.001233525,1.89E-09,0.995633544,0.953256682,0.726278193,2.86E-12,0.985510571,0.955376878,0.803195582,0,0.827358416,0.427892209,0.043724962,0,0.999806789,0.999997848,0.658407088,4.61E-04,0.955589564,0.410839692,0.018673805,5.43E-09,0.999999968,1,0.99999997,0.002489592
360,0.161673387,8.46E-02,1.73E-03,4.32E-12,0.165919612,0.03472604,2.43E-04,1.36E-13,0.99997161,0.985286599,0.792969628,0,0.141369031,3.97E-02,0.002657043,6.96E-09,0.997546713,0.968801011,0.779697177,3.55E-11,0.99049364,0.971049348,0.853387007,0,0.864582033,0.523024134,0.070171356,0,0.999913076,0.999999822,0.758902811,7.42E-04,0.991656683,0.520378433,0.035939339,2.89E-08,0.999999995,1,0.999999998,0.004073156
380,0.216770672,1.18E-01,4.00E-03,8.98E-11,0.219523263,0.05512914,0.000603361,6.84E-13,0.999991972,0.991655233,0.840376361,0,0.192607612,6.25E-02,0.005156657,2.23E-08,0.998603867,0.979116034,0.823341196,3.26E-10,0.993698841,0.981186309,0.891467808,0,0.893770753,0.610060336,0.104302132,0,0.999960639,0.999999986,0.836826892,0.00114703,0.99879385,0.620613375,0.061933784,1.27E-07,0.999999999,1,1,0.006346
400,0.276657318,0.156199272,8.24E-03,1.27E-09,0.27733952,0.081707755,0.001335785,3.00E-12,0.999997694,0.995261373,0.877559269,0,0.249306198,9.19E-02,0.00918009,6.38E-08,0.999195195,0.985964605,0.858664687,2.31E-09,0.995781042,0.98773562,0.919992455,0,0.916586537,0.68648209,0.145645398,0,0.999982042,0.999999999,0.893603595,0.001708735,0.999858567,0.707264885,0.097553078,4.69E-07,1,1,1,0.009474534
420,0.339164577,0.19884055,1.54E-02,1.29E-08,0.337410822,0.114401567,0.002682781,1.17E-11,1.00E+00,0.997300713,0.906409543,0,0.309455032,1.28E-01,0.015203082,1.65E-07,0.999530135,0.990522274,0.8870654,1.33E-08,0.997147302,0.991971819,0.941167768,0,0.934395641,0.751431899,0.193183383,0,0.999991739,1,0.932860761,0.002464809,0.999985952,0.778858947,0.142715789,1.51E-06,1,1,1,0.013626332
440,0.402266057,0.244685437,2.63E-02,9.97E-08,0.397933305,0.152739228,0.004961056,4.10E-11,1.00E+00,0.998455486,0.928620169,0,0.371082027,1.69E-01,0.023684832,3.92E-07,0.999722254,0.9935662,0.90979693,6.31E-08,0.998052703,0.994719273,0.95679098,0,0.948294654,0.805213412,0.245530629,5.55E-17,0.999996166,1,0.958829096,0.003455229,0.999998776,0.835903203,0.196395864,4.32E-06,1,1,1,0.018961818
460,0.464226739,0.292642648,4.21E-02,6.08E-07,0.457372102,0.19592132,0.008548887,1.31E-10,1.00E+00,0.999111416,0.945624736,0,0.432422164,2.15E-01,0.035024446,8.65E-07,0.999833829,0.99560812,0.927937293,2.57E-07,0.998658532,0.996507956,0.968271816,0,0.959150373,0.84882566,0.301123082,3.89E-16,0.999998205,1,0.97537441,0.004721684,0.999999904,0.880042507,0.256830365,1.12E-05,1,1,1,0.02562645
480,0.523673735,0.341663341,6.32E-02,3.02E-06,0.51451279,0.24292749,0.013862596,3.86E-10,1.00E+00,0.999485647,0.958594287,0,0.492013849,2.65E-01,0.049524921,1.79E-06,0.999899418,0.996984698,0.942388431,9.10E-07,0.999067734,0.99767776,0.976688651,0,0.967641295,0.883600381,0.358384529,3.72E-15,0.999999151,1,0.985585255,0.006306597,0.999999993,0.913395052,0.321817023,2.63E-05,1,1,1,0.033743992
